,id,symbol,period,interval,start_at,open_time,volume,open,high,low,close,turnover
17864,59953059,SANDUSDT,30,30,1650182400,1650182400,577375,2.7932,2.8016,2.7752,2.7839,1608657.6656
17865,59960977,SANDUSDT,30,30,1650184200,1650184200,212487,2.7839,2.7855,2.7779,2.784,590973.3647
17866,59968542,SANDUSDT,30,30,1650186000,1650186000,177818,2.784,2.7921,2.7835,2.7914,495783.096
17867,59976373,SANDUSDT,30,30,1650187800,1650187800,61982,2.7914,2.7914,2.7839,2.7868,172743.9088
17868,59984427,SANDUSDT,30,30,1650189600,1650189600,131241,2.7868,2.7912,2.7799,2.7847,365498.6502
17869,59991921,SANDUSDT,30,30,1650191400,1650191400,130988,2.7847,2.7854,2.7784,2.7827,364436.6483
17870,59999454,SANDUSDT,30,30,1650193200,1650193200,93538,2.7827,2.7847,2.7752,2.7797,259909.7171
17871,60007186,SANDUSDT,30,30,1650195000,1650195000,73554,2.7797,2.7858,2.7791,2.7848,204679.8725
17872,60015098,SANDUSDT,30,30,1650196800,1650196800,106445,2.7848,2.7879,2.7775,2.7833,295957.3113
17873,60023295,SANDUSDT,30,30,1650198600,1650198600,144601,2.7833,2.7922,2.7828,2.7886,403300.8732
17874,60030911,SANDUSDT,30,30,1650200400,1650200400,143846,2.7886,2.8018,2.7872,2.7893,402064.95
17875,60038687,SANDUSDT,30,30,1650202200,1650202200,350178,2.7893,2.811,2.7845,2.7922,980529.8518
17876,60046509,SANDUSDT,30,30,1650204000,1650204000,172119,2.7922,2.7956,2.7803,2.7943,479850.9242
17877,60054183,SANDUSDT,30,30,1650205800,1650205800,54448,2.7943,2.7983,2.7889,2.7948,152121.791
17878,60062337,SANDUSDT,30,30,1650207600,1650207600,65851,2.7948,2.8013,2.7865,2.801,183966.1045
17879,60069646,SANDUSDT,30,30,1650209400,1650209400,68952,2.801,2.8045,2.7969,2.804,193087.945
17880,60077639,SANDUSDT,30,30,1650211200,1650211200,94861,2.804,2.8073,2.8006,2.8036,266026.9116
17881,60085341,SANDUSDT,30,30,1650213000,1650213000,171497,2.8036,2.8056,2.7835,2.7865,478966.579
17882,60093298,SANDUSDT,30,30,1650214800,1650214800,78632,2.7865,2.7946,2.7835,2.7862,219301.9684
17883,60100726,SANDUSDT,30,30,1650216600,1650216600,300341,2.7862,2.7917,2.776,2.7791,836597.8883
17884,60109155,SANDUSDT,30,30,1650218400,1650218400,665809,2.7791,2.782,2.7456,2.7611,1836658.7097
17885,60116476,SANDUSDT,30,30,1650220200,1650220200,123055,2.7611,2.7639,2.7505,2.7634,339497.6841
17886,60124155,SANDUSDT,30,30,1650222000,1650222000,201598,2.7634,2.7646,2.7559,2.7582,556342.0276
17887,60131787,SANDUSDT,30,30,1650223800,1650223800,155112,2.7582,2.782,2.7568,2.7737,429965.5033
17888,60140489,SANDUSDT,30,30,1650225600,1650225600,40822,2.7737,2.7769,2.7687,2.7692,113144.6784
17889,60147545,SANDUSDT,30,30,1650227400,1650227400,49374,2.7692,2.7782,2.762,2.7652,136684.8175
17890,60155393,SANDUSDT,30,30,1650229200,1650229200,58526,2.7652,2.7696,2.7552,2.7676,161623.7826
17891,60162909,SANDUSDT,30,30,1650231000,1650231000,109997,2.7676,2.7758,2.7671,2.7731,304834.0458
17892,60170717,SANDUSDT,30,30,1650232800,1650232800,109118,2.7731,2.7827,2.757,2.7792,302551.4619
17893,60178398,SANDUSDT,30,30,1650234600,1650234600,178934,2.7792,2.7812,2.7457,2.7522,493399.856
17894,60186100,SANDUSDT,30,30,1650236400,1650236400,1010286,2.7522,2.7522,2.6787,2.6839,2736895.1999
17895,60193837,SANDUSDT,30,30,1650238200,1650238200,890625,2.6839,2.6978,2.65,2.6771,2380085.539
17896,60202365,SANDUSDT,30,30,1650240000,1650240000,208837,2.6771,2.6908,2.6655,2.6882,559578.5568
17897,60210300,SANDUSDT,30,30,1650241800,1650241800,209718,2.6882,2.6916,2.6726,2.6886,562517.5722
17898,60218098,SANDUSDT,30,30,1650243600,1650243600,164462,2.6886,2.7062,2.6854,2.6933,443516.468
17899,60225520,SANDUSDT,30,30,1650245400,1650245400,73217,2.6933,2.7087,2.6902,2.7054,197643.512
17900,60233529,SANDUSDT,30,30,1650247200,1650247200,95071,2.7054,2.7156,2.7034,2.7118,257750.4706
17901,60241279,SANDUSDT,30,30,1650249000,1650249000,125951,2.7118,2.7207,2.7104,2.7172,342145.3492
17902,60248879,SANDUSDT,30,30,1650250800,1650250800,110345,2.7172,2.7256,2.7096,2.7126,299653.6295
